CONTROLN,HIT,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,LONGEVITY,AGE,RAMNTALL,NGIFTALL,AVGGIFT,PROP_RESP_CARDPROM,HHAGE3,HV2,HVP4,IC5,EC4
13,1,0,22,69,5,5,1,2,143,71.0,3.98,4.4,0.90454545455,0.39473684210526316,2,1130,97,20557,16
15,0,0,17,43,12,3,1,1,131,64.0,3.22,2.2,1.4636363635999998,0.16666666666666666,3,1310,97,22196,19
21,3,0,0,0,0,0,0,0,131,39.0,1.69,3.3,0.5121212121200001,0.25,7,1692,99,16077,13
27,5,1,19,22,17,6,3,4,131,71.0,3.05,2.1,1.4523809524,0.11764705882352941,9,1925,98,12606,29
46,2,0,41,72,9,6,10,7,179,58.0,5.75,1.1,5.2272727273,0.125,13,782,48,10782,30
66,2,0,27,49,6,12,1,2,131,38.0,5.09,2.2,2.3136363635999997,0.21212121212121213,1,1189,97,17018,23
70,0,2,51,45,45,5,0,9,131,41.0,1.71,3.4,0.50294117647,0.3888888888888889,21,407,9,8132,31
88,4,0,0,0,0,0,0,0,131,74.0,1.55,0.6,2.5833333333,0.07407407407407407,20,880,75,13732,36
100,0,2,36,39,26,5,3,0,131,51.0,4.4,2.3,1.9130434782999999,0.2222222222222222,16,1352,75,25740,32
102,1,0,38,33,26,23,2,0,131,63.0,2.78,2.0,1.3900000000000001,0.10256410256410256,28,712,34,8233,29
105,0,0,28,20,20,19,9,3,143,71.0,2.0248,0.6,3.3746666667,0.05263157894736842,20,2492,96,18549,27
111,0,0,33,33,32,7,6,4,131,49.0,4.82,7.6,0.6342105263200001,0.4634146341463415,33,357,5,8006,33
113,0,0,33,22,43,10,4,2,155,49.0,5.16,1.4,3.6857142857,0.15384615384615385,40,233,1,9042,40
122,0,0,32,19,39,11,10,2,131,49.0,1.005,3.3,0.30454545455000004,0.4444444444444444,21,838,52,13841,33
142,0,0,30,33,29,5,3,1,179,49.0,1.86,3.1,0.6,0.3181818181818182,21,521,15,10221,31
146,0,0,0,0,0,0,0,0,131,74.0,3.03,2.0,1.5150000000000001,0.125,39,698,22,13408,36
148,0,5,37,45,18,8,6,10,131,72.0,1.67,3.1,0.53870967742,0.3333333333333333,16,871,54,11863,40
156,17,0,0,0,0,0,0,0,167,73.0,2.01,3.3,0.6090909090900001,0.2631578947368421,18,838,42,12426,31
161,24,0,28,31,58,7,0,4,131,73.0,2.92,2.6,1.1230769230999997,0.26666666666666666,49,332,1,8517,28
162,7,0,47,24,23,4,3,1,107,76.0,2.77,2.4,1.1541666667000001,0.10810810810810811,35,919,56,13079,26
167,9,0,32,31,27,16,9,0,131,58.0,2.68,1.7,1.5764705882,0.1111111111111111,24,458,4,11428,47
186,0,0,0,0,0,0,0,0,167,49.0,6.7,7.6,0.8815789473700001,0.5,30,1048,65,19388,30
205,0,0,19,21,40,5,9,2,131,0.0,1.78,1.8,0.98888888889,0.29411764705882354,28,444,8,9540,18
